theme,display_name,category,description,macro_driver,risk_factor,global_peer,sectors,stock_count,scored_count,strong_count,emerging_count,theme_score,theme_signal,momentum_phase,participant_leader,avg_bull_score,avg_ret_30d,avg_ret_60d,avg_ret_90d,avg_ret_365d,avg_vol_ratio,avg_ml_score,avg_accum_score,fii_flow_score,dii_flow_score,smart_money_score,price_sector_momentum,top_picks,as_of_date
CYBERSECURITY,Cybersecurity & Data Protection,TECHNOLOGY,DPDP Act 2023 compliance mandates + rising state-sponsored attacks + OT/SCADA security needs in energy/defence driving spend.,"DPDP Act compliance deadline, CERT-IN mandates, defence OT security","SME budget constraints, global platform competition (Palo Alto, CrowdStrike)","CrowdStrike, Zscaler, Palo Alto Networks global expansion","DEFENCE,IT",130,130,0,22,44.02,NEUTRAL,EARLY_ROTATION,RETAIL,37.19,2.19,5.52,31.4,-16.53,1.31,50.82,16.89,-51.06,-23.2,-0.22,3.36,"[{""symbol"": ""PARAS"", ""bull_run_score"": 53.13, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""RAMCOSYS"", ""bull_run_score"": 57.93, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""EBGNG"", ""bull_run_score"": 57.92, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""ASTRAMICRO"", ""bull_run_score"": 51.23, ""label"": ""EMERGING"", ""purity_score"": 0.5}, {""symbol"": ""COFORGE"", ""bull_run_score"": 40.48, ""label"": ""WATCHLIST"", ""purity_score"": 0.63}]",2026-07-03
FINTECH_INFRASTR,Fintech Infrastructure,TECHNOLOGY,"UPI transaction volume doubling YoY, ONDC ecosystem, CBDC pilot, account aggregator — India building the world's most sophisticated payment rails.","UPI volume 15B+ monthly, ONDC scaling, RBI CBDC pilot","Regulatory tightening, cybersecurity threats, zero-MDR policy","Stripe, PayPal, Brazil Pix payment rail ecosystem","FINANCIAL_SERVICES,IT,MEDIA,TELECOM",179,179,0,26,43.29,BUILDING,EARLY_ROTATION,SMART_MONEY,37.69,0.48,3.05,25.86,-19.44,1.02,50.69,13.89,-50.13,-30.81,1.12,2.57,"[{""symbol"": ""STYL"", ""bull_run_score"": 45.92, ""label"": ""EMERGING"", ""purity_score"": 0.8}, {""symbol"": ""CCAVENUE"", ""bull_run_score"": 44.16, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}, {""symbol"": ""FINKURVE"", ""bull_run_score"": 43.08, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}, {""symbol"": ""MOBIKWIK"", ""bull_run_score"": 37.89, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}, {""symbol"": ""SUVIDHAA"", ""bull_run_score"": 37.85, ""label"": ""WATCHLIST"", ""purity_score"": 0.8}]",2026-07-03
BATTERY_STORAGE,Battery & Energy Storage,EMERGING,Grid-scale storage for RE intermittency + PLI for ACC batteries + pumped hydro revival + EV battery supply chain — multi-decade opportunity.,"PLI ACC Rs 18,100 Cr, RE grid storage mandate, EV battery localisation","Technology disruption (solid-state vs lithium-ion), raw material supply","CATL, LG Energy Solution, Panasonic battery expansion","AUTO,CHEMICALS,ENERGY,METAL,POWER",508,508,0,66,42.45,NEUTRAL,EARLY_ROTATION,RETAIL,37.65,1.5,3.51,27.26,-0.62,0.96,51.46,14.18,-62.97,-16.63,-13.79,3.92,"[{""symbol"": ""CRAFTSMAN"", ""bull_run_score"": 55.56, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""JAYBARMARU"", ""bull_run_score"": 50.78, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""NRBBEARING"", ""bull_run_score"": 50.7, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ATHERENERG"", ""bull_run_score"": 50.18, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""RML"", ""bull_run_score"": 49.52, ""label"": ""EMERGING"", ""purity_score"": 0.55}]",2026-07-03
PSU_REVIVAL,Public Sector Revival,MACRO,"Government-owned companies being re-rated as governance improves — PSU banks, oil companies, and utilities recapturing investor attention.","Government recapitalisation, dividend mandates, disinvestment re-think","Government interference in business decisions, populist spending",China SOE reform cycle,"DIVERSIFIED,ENERGY",5,5,0,2,42.1,NEUTRAL,DORMANT,RETAIL,38.31,-2.57,2.85,21.51,-15.3,0.52,54.7,38.55,-47.65,-28.61,-1.06,1.34,"[{""symbol"": ""MMTC"", ""bull_run_score"": 46.56, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""STCINDIA"", ""bull_run_score"": 46.12, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""BHARATCOAL"", ""bull_run_score"": 38.59, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""COALINDIA"", ""bull_run_score"": 30.37, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""SANDUMA"", ""bull_run_score"": 29.93, ""label"": ""NEUTRAL"", ""purity_score"": 1.0}]",2026-07-03
SMART_CITIES,Smart Cities & Urban Tech,INFRA,Smart City Mission 2.0 + CCTV/surveillance rollout + traffic management systems + EV charging city infrastructure building.,"100 Smart Cities Mission, Rs 6,450 Cr AMRUT, urban population growth","Implementation complexity, fragmented city-level procurement","Honeywell, Bosch smart city solutions globally","CAPITAL_GOODS,INFRASTRUCTURE,LOGISTICS,REALTY,TELECOM",475,475,0,69,41.82,NEUTRAL,EARLY_ROTATION,RETAIL,38.06,3.42,4.75,32.63,-7.79,0.93,51.08,14.45,-63.88,-10.19,-15.25,-1.13,"[{""symbol"": ""LODHA"", ""bull_run_score"": 52.59, ""label"": ""EMERGING"", ""purity_score"": 0.58}, {""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.45}, {""symbol"": ""PHOENIXLTD"", ""bull_run_score"": 44.49, ""label"": ""WATCHLIST"", ""purity_score"": 0.58}, {""symbol"": ""PRESTIGE"", ""bull_run_score"": 43.83, ""label"": ""WATCHLIST"", ""purity_score"": 0.58}, {""symbol"": ""OBEROIRLTY"", ""bull_run_score"": 42.65, ""label"": ""WATCHLIST"", ""purity_score"": 0.58}]",2026-07-03
DIVIDEND_YIELD,High Dividend Yield,FACTOR,"Stocks with dividend yield >3.5%, sustainable payout ratio, preferred by FIIs for passive income — works as defensive play in risk-off markets.","FII preference for yield, PSU dividend mandates, retiree allocation shift",Dividend cuts if earnings deteriorate; yield trap in declining businesses,"FTSE Dividend Index, S&P Dividend Aristocrats","AMC,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,METAL,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",204,204,0,22,41.54,NEUTRAL,CONSOLIDATING,RETAIL,37.05,-1.09,1.34,17.42,3.87,1.01,49.26,10.76,-55.83,-8.25,-13.34,1.65,"[{""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ADANIENSOL"", ""bull_run_score"": 53.65, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""LODHA"", ""bull_run_score"": 52.59, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""ADANIENT"", ""bull_run_score"": 52.4, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""MOTILALOFS"", ""bull_run_score"": 52.36, ""label"": ""EMERGING"", ""purity_score"": 0.55}]",2026-07-03
FINANCIALISATION,Financialisation of Savings,FINANCE,Indians shifting savings from gold and real estate into stocks and MFs — financial companies see structural demand growth.,"Rising incomes, SIP culture, SEBI reforms, UPI credit ecosystem","Market correction dampens SIP inflows, credit cycle stress",US wealth management boom (2010-2020),"AMC,BANKING,FINANCIAL_SERVICES",256,256,0,29,41.51,NEUTRAL,EARLY_ROTATION,RETAIL,37.61,1.53,1.67,21.72,-8.28,1.0,50.42,11.51,-50.72,-5.55,-11.72,4.19,"[{""symbol"": ""CGCL"", ""bull_run_score"": 56.85, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""MOTILALOFS"", ""bull_run_score"": 52.36, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""NAM-INDIA"", ""bull_run_score"": 51.05, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""GODIGIT"", ""bull_run_score"": 49.25, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""VLSFINANCE"", ""bull_run_score"": 49.0, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
PORTS_SHIPPING,Ports & Maritime Logistics,INFRA,Sagarmala Phase 3 + Vadhvan mega-port + India targeting global trans-shipment hub status — maritime logistics modernising rapidly.,"Sagarmala Rs 6L Cr, Vadhvan port, EXIM growth, India trade balance","Global trade slowdown, congestion at major ports, geopolitical route disruption","DP World, PSA International, Hutchison Ports expansion","DEFENCE,INFRASTRUCTURE,LOGISTICS",124,124,0,13,41.47,NEUTRAL,EARLY_ROTATION,RETAIL,37.42,2.12,1.11,28.47,-13.99,1.03,50.03,10.57,-54.18,-12.36,-8.94,-0.46,"[{""symbol"": ""GRSE"", ""bull_run_score"": 44.53, ""label"": ""WATCHLIST"", ""purity_score"": 0.85}, {""symbol"": ""OMFREIGHT"", ""bull_run_score"": 45.94, ""label"": ""EMERGING"", ""purity_score"": 0.8}, {""symbol"": ""MAZDOCK"", ""bull_run_score"": 41.18, ""label"": ""WATCHLIST"", ""purity_score"": 0.85}, {""symbol"": ""KERNEX"", ""bull_run_score"": 47.77, ""label"": ""EMERGING"", ""purity_score"": 0.55}, {""symbol"": ""SHADOWFAX"", ""bull_run_score"": 46.93, ""label"": ""EMERGING"", ""purity_score"": 0.55}]",2026-07-03
GREEN_ENERGY,Green & Renewable Energy,ENERGY,"India targeting 500GW renewable capacity by 2030 — solar, wind, green hydrogen, and energy storage companies are direct beneficiaries.","Global climate commitments, falling solar costs, energy security","Land acquisition, grid curtailment, financing costs","Global clean energy transition (IRA, European Green Deal)","ENERGY,POWER",67,67,0,9,41.32,NEUTRAL,EARLY_ROTATION,RETAIL,36.57,0.83,2.0,28.47,-2.37,0.7,49.98,14.14,-66.39,-20.4,-12.18,1.34,"[{""symbol"": ""ADANIENSOL"", ""bull_run_score"": 53.65, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""BLUSPRING"", ""bull_run_score"": 49.46, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""AEGISLOG"", ""bull_run_score"": 48.59, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""CLEANMAX"", ""bull_run_score"": 47.59, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""ACMESOLAR"", ""bull_run_score"": 47.31, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
LARGECAP_VALUE,Large Cap Value (>10K Cr mkt cap),FACTOR,"Deep-value positioning in unloved large caps — PE below sector median, stable earnings, waiting for re-rating catalyst. Works in late bull cycles.",Institutional rebalancing from growth to value in rising rate environments,Value traps if earnings deteriorate; may underperform in strong bull markets,"Warren Buffett / Berkshire value approach, MSCI Value factor","AMC,AUTO,AVIATION,BANKING,CAPITAL_GOODS,CEMENT,CHEMICALS,DEFENCE,ENERGY,FINANCIAL_SERVICES,FMCG,HEALTHCARE,HOSPITALITY,INFRASTRUCTURE,IT,LOGISTICS,METAL,PHARMA,POWER,REALTY,RETAIL,TELECOM,TEXTILES",200,200,0,20,41.18,NEUTRAL,CONSOLIDATING,RETAIL,36.99,-1.07,1.25,17.21,4.26,1.02,49.11,9.95,-57.37,-7.31,-14.4,1.72,"[{""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""ADANIENSOL"", ""bull_run_score"": 53.65, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""LODHA"", ""bull_run_score"": 52.59, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""ADANIENT"", ""bull_run_score"": 52.4, ""label"": ""EMERGING"", ""purity_score"": 0.62}, {""symbol"": ""MOTILALOFS"", ""bull_run_score"": 52.36, ""label"": ""EMERGING"", ""purity_score"": 0.62}]",2026-07-03
INTEREST_RATE_CYCLE,Interest Rate Cycle Play,MACRO,"RBI rate cut cycle benefiting rate-sensitive sectors — NIM expansion for banks, housing affordability improving, NBFC funding cost falling.","RBI cut cycle, inflation trajectory, global Fed policy alignment","Inflation resurgence forcing rate hike reversal, sticky core inflation","US Fed rate cut cycle impact on banks, REITs, utilities","BANKING,DIVERSIFIED,ENERGY,FINANCIAL_SERVICES,REALTY",369,369,0,42,41.07,NEUTRAL,EARLY_ROTATION,RETAIL,37.59,1.29,1.22,22.84,-10.96,1.01,49.96,11.36,-58.64,-12.57,-10.86,2.23,"[{""symbol"": ""CERA"", ""bull_run_score"": 53.26, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""LODHA"", ""bull_run_score"": 52.59, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""STYLAMIND"", ""bull_run_score"": 48.65, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""WEWORK"", ""bull_run_score"": 47.14, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""GREENPLY"", ""bull_run_score"": 47.05, ""label"": ""EMERGING"", ""purity_score"": 0.7}]",2026-07-03
WATER_MANAGEMENT,Water & Sanitation,INFRA,Jal Jeevan Mission Rs 3.6L Cr + water recycling mandates + drip irrigation boom + AMRUT 2.0 urban water supply — massive underserved opportunity.,"Jal Jeevan Mission, water stress in 21 major cities, ZLD mandates","Execution risk in rural areas, state government payment delays","Veolia, Xylem, Danaher global water infrastructure","CAPITAL_GOODS,INFRASTRUCTURE",89,89,0,10,40.41,NEUTRAL,EARLY_ROTATION,RETAIL,37.66,2.81,2.43,31.06,-15.11,0.98,50.59,11.96,-65.86,-15.04,-12.75,-2.82,"[{""symbol"": ""WABAG"", ""bull_run_score"": 49.28, ""label"": ""EMERGING"", ""purity_score"": 0.85}, {""symbol"": ""JISLJALEQS"", ""bull_run_score"": 41.99, ""label"": ""WATCHLIST"", ""purity_score"": 0.85}, {""symbol"": ""IONEXCHANG"", ""bull_run_score"": 39.2, ""label"": ""WATCHLIST"", ""purity_score"": 0.85}, {""symbol"": ""JISLDVREQS"", ""bull_run_score"": 34.71, ""label"": ""WATCHLIST"", ""purity_score"": 0.85}, {""symbol"": ""GMRAIRPORT"", ""bull_run_score"": 57.8, ""label"": ""EMERGING"", ""purity_score"": 0.4}]",2026-07-03
WEALTH_MGMT,Wealth Management & AMC,FINANCE,MF AUM crossing Rs 70L Cr + PMS growth + demat accounts tripling — India's wealth management industry in structural upcycle.,"SIP Rs 26K Cr/month, demat 180M accounts, equity culture shift","Market correction halting SIP inflows, regulatory fee compression","Vanguard, BlackRock AUM growth trajectory (2000-2020)","AMC,FINANCIAL_SERVICES,RETAIL",218,218,0,26,39.81,NEUTRAL,EARLY_ROTATION,DII,37.72,1.35,1.52,21.52,-11.07,1.03,50.58,12.35,-44.3,2.64,-14.55,2.99,"[{""symbol"": ""NAM-INDIA"", ""bull_run_score"": 51.05, ""label"": ""EMERGING"", ""purity_score"": 0.9}, {""symbol"": ""ABSLAMC"", ""bull_run_score"": 47.54, ""label"": ""EMERGING"", ""purity_score"": 0.9}, {""symbol"": ""NUVAMA"", ""bull_run_score"": 45.17, ""label"": ""EMERGING"", ""purity_score"": 0.9}, {""symbol"": ""IVC"", ""bull_run_score"": 42.21, ""label"": ""WATCHLIST"", ""purity_score"": 0.9}, {""symbol"": ""WEALTH"", ""bull_run_score"": 40.5, ""label"": ""WATCHLIST"", ""purity_score"": 0.9}]",2026-07-03
PREMIUMISATION,Premium Consumption Upgrade,CONSUMER,"India's upper-middle class trading up — premium food, experiences, travel, and consumer goods seeing strong demand as aspirations rise.","Rising urban incomes, aspirational class growth, credit availability",Slowdown in discretionary spending during rate hike cycles,China's premiumisation wave (2010-2015),"AVIATION,FMCG,HOSPITALITY,MEDIA,RETAIL",278,278,0,37,39.69,NEUTRAL,EARLY_ROTATION,RETAIL,36.61,2.1,1.16,20.31,-14.17,0.84,49.96,13.82,-44.42,-4.14,-11.65,-1.08,"[{""symbol"": ""CARTRADE"", ""bull_run_score"": 49.81, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""INDIGO"", ""bull_run_score"": 49.26, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""AVL"", ""bull_run_score"": 49.02, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""NYKAA"", ""bull_run_score"": 48.74, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""THANGAMAYL"", ""bull_run_score"": 48.1, ""label"": ""EMERGING"", ""purity_score"": 1.0}]",2026-07-03
GREEN_HYDROGEN,Green Hydrogen Economy,ENERGY,"National Green Hydrogen Mission Rs 19,744 Cr — electrolyser manufacturing, green ammonia exports, and industrial decarbonisation.","NGHM Rs 19,744 Cr, green ammonia export demand, decarbonisation mandates","High cost vs grey hydrogen (4x), electrolyser technology risk, storage challenges","ITM Power, Nel Hydrogen, Plug Power global electrolyser buildout",CHEMICALS,218,218,0,15,39.64,NEUTRAL,EARLY_ROTATION,RETAIL,36.22,0.29,2.58,26.41,-14.14,0.95,48.13,7.06,-67.25,-38.94,-8.0,-0.92,"[{""symbol"": ""HINDPETRO"", ""bull_run_score"": 34.79, ""label"": ""WATCHLIST"", ""purity_score"": 0.53}, {""symbol"": ""BPCL"", ""bull_run_score"": 33.56, ""label"": ""WATCHLIST"", ""purity_score"": 0.53}, {""symbol"": ""IOC"", ""bull_run_score"": 32.49, ""label"": ""WATCHLIST"", ""purity_score"": 0.53}, {""symbol"": ""APARINDS"", ""bull_run_score"": 48.51, ""label"": ""EMERGING"", ""purity_score"": 0.35}, {""symbol"": ""YASHO"", ""bull_run_score"": 47.94, ""label"": ""EMERGING"", ""purity_score"": 0.35}]",2026-07-03
COMMODITY_SUPER,Commodity Supercycle,ENERGY,"Structural shortage in critical minerals (copper, lithium, rare earths) as energy transition accelerates — metal and mining companies benefit.","Energy transition critical minerals demand, China stockpiling, supply underinvestment","China demand slowdown, substitution risk (less copper in solid-state batteries)","BHP, Rio Tinto, Glencore commodity supercycle positioning","CHEMICALS,ENERGY,METAL",364,364,0,34,38.97,NEUTRAL,EARLY_ROTATION,RETAIL,36.75,0.03,1.9,27.15,-4.9,0.93,49.57,10.04,-66.37,-17.66,-16.08,5.33,"[{""symbol"": ""WELCORP"", ""bull_run_score"": 47.12, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""BANSALWIRE"", ""bull_run_score"": 54.93, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""CHENNPETRO"", ""bull_run_score"": 43.62, ""label"": ""WATCHLIST"", ""purity_score"": 0.88}, {""symbol"": ""POCL"", ""bull_run_score"": 54.81, ""label"": ""EMERGING"", ""purity_score"": 0.7}, {""symbol"": ""AEROFLEX"", ""bull_run_score"": 49.64, ""label"": ""EMERGING"", ""purity_score"": 0.7}]",2026-07-03
MICROFINANCE,Microfinance & Financial Inclusion,FINANCE,PMJDY + Jan Suraksha + NBFC-MFI rural credit expansion — bringing 300M unbanked Indians into formal credit for the first time.,"Financial inclusion mandates, PMJDY, rural credit gap Rs 30L Cr","Portfolio at risk in stress events (COVID-like shocks), over-indebtedness","Grameen Bank, SKS Microfinance, Latin America MFI expansion",FINANCIAL_SERVICES,214,214,0,24,38.72,NEUTRAL,EARLY_ROTATION,DII,37.8,1.58,1.81,22.42,-10.73,1.04,50.71,12.86,-64.03,0.91,-18.23,4.86,"[{""symbol"": ""MUTHOOTMF"", ""bull_run_score"": 48.78, ""label"": ""EMERGING"", ""purity_score"": 0.95}, {""symbol"": ""SATIN"", ""bull_run_score"": 48.38, ""label"": ""EMERGING"", ""purity_score"": 0.95}, {""symbol"": ""CREDITACC"", ""bull_run_score"": 46.6, ""label"": ""EMERGING"", ""purity_score"": 0.95}, {""symbol"": ""FUSION"", ""bull_run_score"": 44.97, ""label"": ""WATCHLIST"", ""purity_score"": 0.95}, {""symbol"": ""SPANDANA"", ""bull_run_score"": 42.91, ""label"": ""WATCHLIST"", ""purity_score"": 0.95}]",2026-07-03
BANKING_CREDIT,Banking & Credit Cycle,FINANCE,"Credit-to-GDP rising from 55% vs EM average 80% — banks, NBFCs, and MFIs riding a multi-year credit upcycle as India formalises.","Credit-to-GDP gap, RBI rate cut cycle, SME lending boom","Asset quality deterioration in unsecured loans, NBFC stress","US banking credit cycle (2016-2019), Southeast Asia bank expansion","BANKING,FINANCIAL_SERVICES",253,253,0,28,38.71,NEUTRAL,EARLY_ROTATION,DII,37.58,1.79,1.85,21.62,-6.83,1.01,50.28,11.0,-69.25,0.74,-20.38,4.23,"[{""symbol"": ""MAHABANK"", ""bull_run_score"": 46.04, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""CGCL"", ""bull_run_score"": 56.85, ""label"": ""EMERGING"", ""purity_score"": 0.8}, {""symbol"": ""FEDERALBNK"", ""bull_run_score"": 45.27, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""IDFCFIRSTB"", ""bull_run_score"": 44.13, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""YESBANK"", ""bull_run_score"": 43.91, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}]",2026-07-03
INSURANCE_GROWTH,Insurance Penetration,FINANCE,"India's insurance penetration 4.2% vs global 7% — IRDAI reforms, mandatory health insurance push, and bancassurance growth drive the gap close.","IRDAI Bima Sugam, mandatory health cover push, rising health awareness","Claims ratio volatility, regulatory pricing caps, climate catastrophe events",Southeast Asia insurance penetration catch-up story,FINANCIAL_SERVICES,214,214,0,24,37.82,NEUTRAL,EARLY_ROTATION,DII,37.37,0.95,1.04,20.49,-11.39,1.03,49.97,11.42,-64.03,0.91,-18.23,4.86,"[{""symbol"": ""GODIGIT"", ""bull_run_score"": 49.25, ""label"": ""EMERGING"", ""purity_score"": 0.95}, {""symbol"": ""STARHEALTH"", ""bull_run_score"": 45.87, ""label"": ""EMERGING"", ""purity_score"": 0.95}, {""symbol"": ""NIACL"", ""bull_run_score"": 42.87, ""label"": ""WATCHLIST"", ""purity_score"": 0.95}, {""symbol"": ""NIVABUPA"", ""bull_run_score"": 39.38, ""label"": ""WATCHLIST"", ""purity_score"": 0.95}, {""symbol"": ""CANHLIFE"", ""bull_run_score"": 35.62, ""label"": ""WATCHLIST"", ""purity_score"": 0.95}]",2026-07-03
AGRITECH,Agritech & Precision Farming,EMERGING,Drone-based crop spraying + AI soil sensors + cold chain for perishables + eNAM digital mandi — agriculture productivity tech exploding.,"Drone PLI Rs 120 Cr, eNAM 1,300 mandis, PM KUSUM solar pump","Farmer adoption hurdles, seasonality, MNREGA competes for rural labour","John Deere precision ag, Trimble agriculture, FBN agritech","AGRICULTURE,CHEMICALS",24,24,0,2,37.53,NEUTRAL,CONSOLIDATING,RETAIL,36.93,-4.04,-3.62,16.1,-9.54,0.74,48.96,8.24,-58.25,-18.3,-11.07,-0.46,"[{""symbol"": ""DHANUKA"", ""bull_run_score"": 32.34, ""label"": ""WATCHLIST"", ""purity_score"": 0.88}, {""symbol"": ""NARMADA"", ""bull_run_score"": 47.63, ""label"": ""EMERGING"", ""purity_score"": 0.35}, {""symbol"": ""SANSTAR"", ""bull_run_score"": 46.78, ""label"": ""EMERGING"", ""purity_score"": 0.35}, {""symbol"": ""AMIRCHAND"", ""bull_run_score"": 44.72, ""label"": ""WATCHLIST"", ""purity_score"": 0.35}, {""symbol"": ""GAEL"", ""bull_run_score"": 44.63, ""label"": ""WATCHLIST"", ""purity_score"": 0.35}]",2026-07-03
TOURISM_HOSP,Tourism & Hospitality,CONSUMER,Domestic tourism recovery + India as global spiritual and leisure destination + G20 brand recognition + MICE (meetings/incentives) growth.,"Post-COVID pent-up demand, Incredible India 2.0, G20 brand lift","Geopolitical events, weather disruption, overcapacity in hotel supply","Marriott, Accor, OYO global travel recovery cycle","AVIATION,CAPITAL_GOODS,FINANCIAL_SERVICES,HOSPITALITY",60,60,0,7,36.6,NEUTRAL,EARLY_ROTATION,DII,37.42,2.59,2.44,23.0,-19.21,0.66,50.65,11.22,-55.7,2.46,-19.57,0.15,"[{""symbol"": ""ORIENTHOT"", ""bull_run_score"": 47.22, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""UFBL"", ""bull_run_score"": 48.08, ""label"": ""EMERGING"", ""purity_score"": 0.85}, {""symbol"": ""YATRA"", ""bull_run_score"": 46.85, ""label"": ""EMERGING"", ""purity_score"": 0.85}, {""symbol"": ""THELEELA"", ""bull_run_score"": 45.1, ""label"": ""EMERGING"", ""purity_score"": 0.88}, {""symbol"": ""TBOTEK"", ""bull_run_score"": 46.12, ""label"": ""EMERGING"", ""purity_score"": 0.85}]",2026-07-03
LOGISTICS_MODERNISATION,Logistics Modernisation,INFRA,"India's logistics costs (14% of GDP vs 8% globally) being tackled — warehousing, cold chain, and express delivery modernisation underway.","GST e-waybill, PM Gati Shakti, Dedicated Freight Corridors","Fragmented market, thin margins, fuel cost volatility","Amazon logistics disruption, FedEx Asia expansion",LOGISTICS,35,35,0,3,36.55,NEUTRAL,EARLY_ROTATION,DII,36.86,1.97,0.82,24.34,-12.35,0.98,49.45,8.71,-62.57,0.09,-21.48,0.0,"[{""symbol"": ""KERNEX"", ""bull_run_score"": 47.77, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""SHADOWFAX"", ""bull_run_score"": 46.93, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""OMFREIGHT"", ""bull_run_score"": 45.94, ""label"": ""EMERGING"", ""purity_score"": 1.0}, {""symbol"": ""NECCLTD"", ""bull_run_score"": 44.58, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}, {""symbol"": ""TVSSCS"", ""bull_run_score"": 43.47, ""label"": ""WATCHLIST"", ""purity_score"": 1.0}]",2026-07-03
GOLD_JEWELLERY,Gold & Precious Metals Retail,CONSUMER,Organised jewellery gaining share from unorganised + GST compliance driving formalisation + wedding demand + sovereign gold bond alternatives.,"Organised market share rising from 35% to 60%, BIS hallmarking mandate","Import duty changes, gold price correction, lab-grown diamond disruption","Chow Tai Fook (HK), Signet Jewelers branded jewellery expansion","FMCG,RETAIL",69,69,0,13,36.35,PRICE_LED,EARLY_ROTATION,DII,37.65,4.59,3.13,22.63,-9.58,0.91,51.56,18.15,-63.21,20.7,-29.7,-2.04,"[{""symbol"": ""THANGAMAYL"", ""bull_run_score"": 48.1, ""label"": ""EMERGING"", ""purity_score"": 0.92}, {""symbol"": ""KDDL"", ""bull_run_score"": 46.73, ""label"": ""EMERGING"", ""purity_score"": 0.92}, {""symbol"": ""SKYGOLD"", ""bull_run_score"": 46.18, ""label"": ""EMERGING"", ""purity_score"": 0.92}, {""symbol"": ""TBZ"", ""bull_run_score"": 45.45, ""label"": ""EMERGING"", ""purity_score"": 0.92}, {""symbol"": ""RBZJEWEL"", ""bull_run_score"": 45.1, ""label"": ""EMERGING"", ""purity_score"": 0.92}]",2026-07-03
