symbol,listing_date,lagna,lagna_lord,moon_sign,mahadasha,antardasha,maha_end_date,yogas,astro_score,astro_action
DWARKESH,2004-12-31,Capricorn,Saturn,Leo,Venus,Mercury,2029-02-01,Raja Yoga|Raja Yoga|Raja Yoga,84.0,BUY
DYCL,2022-07-27,Virgo,Mercury,Gemini,Jupiter,Saturn,2035-02-08,Gaja Kesari|Parivartana,41.0,BUY
DYNAMATECH,2006-09-14,Libra,Venus,Taurus,Rahu,Venus,2031-06-10,Raja Yoga|Kemdrum,3.0,CAUTION
DYNPRO,2017-07-19,Leo,Sun,Taurus,Moon,Mercury,2030-03-21,Raja Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,34.0,HOLD
E2E,2022-04-12,Taurus,Venus,Leo,Ketu,Jupiter,2028-11-19,Gaja Kesari|Raja Yoga|Kemdrum,3.0,CAUTION
EASEMYTRIP,2021-03-19,Taurus,Venus,Taurus,Moon,Saturn,2032-01-14,Raja Yoga|Kemdrum,-19.0,EXIT
EBGNG,2025-07-30,Virgo,Mercury,Virgo,Moon,Mars,2030-01-19,Gaja Kesari|Raja Yoga|Kemdrum|Parivartana,33.0,HOLD
ECLERX,2007-12-31,Capricorn,Saturn,Virgo,Rahu,Jupiter,2040-04-23,Gaja Kesari|Viparita Raja,37.0,HOLD
EDELWEISS,2007-12-12,Capricorn,Saturn,Sagittarius,Moon,Ketu,2029-01-10,Gaja Kesari|Parivartana,5.0,CAUTION
EFCIL,2025-08-20,Virgo,Mercury,Gemini,Jupiter,Jupiter,2035-07-10,Gaja Kesari|Raja Yoga|Parivartana,53.0,BUY
EICHERMOT,2004-09-07,Libra,Venus,Taurus,Rahu,Moon,2027-09-30,Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,74.0,BUY
EIDPARRY,1995-05-10,Gemini,Mercury,Leo,Rahu,Rahu,2042-06-20,Gaja Kesari|Neecha Bhanga,20.0,HOLD
EIEL,2024-11-29,Sagittarius,Jupiter,Libra,Jupiter,Jupiter,2041-02-11,Raja Yoga|Neecha Bhanga|Parivartana,13.0,CAUTION
EIHAHOTELS,2008-04-08,Taurus,Venus,Aries,Moon,Mercury,2029-10-14,Raja Yoga|Raja Yoga|Raja Yoga,46.0,BUY
EIHOTEL,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
EIMCOELECO,1996-04-17,Gemini,Mercury,Pisces,Venus,Saturn,2030-09-07,Gaja Kesari,16.0,HOLD
EKC,2005-12-15,Capricorn,Saturn,Taurus,Rahu,Venus,2030-10-24,,12.0,CAUTION
ELANTAS,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ELCIDIN,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ELDEHSG,2022-04-12,Taurus,Venus,Leo,Ketu,Jupiter,2028-11-19,Gaja Kesari|Raja Yoga|Kemdrum,3.0,CAUTION
ELECON,2006-09-29,Libra,Venus,Scorpio,Venus,Rahu,2038-01-26,Raja Yoga|Neecha Bhanga|Parivartana,9.0,CAUTION
ELECTCAST,2003-06-20,Cancer,Moon,Aquarius,Saturn,Mercury,2040-12-03,Raja Yoga|Raja Yoga|Kemdrum,21.0,HOLD
ELECTHERM,2007-08-20,Virgo,Mercury,Libra,Saturn,Venus,2037-11-16,Dhana Yoga|Raja Yoga|Viparita Raja|Parivartana,55.0,BUY
ELGIEQUIP,1995-11-22,Sagittarius,Jupiter,Libra,Mercury,Sun,2036-12-15,Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,88.0,BUY
ELGIRUBCO,2011-08-10,Virgo,Mercury,Sagittarius,Venus,Saturn,2033-03-10,Kemdrum|Neecha Bhanga,9.0,CAUTION
ELIN,2022-12-30,Capricorn,Saturn,Pisces,Mercury,Ketu,2041-02-09,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
ELITECON,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
ELLEN,2025-07-01,Leo,Sun,Leo,Sun,Mars,2031-03-30,Raja Yoga,33.0,HOLD
ELPROINTL,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
EMAMILTD,2006-08-03,Virgo,Mercury,Libra,Saturn,Moon,2034-03-08,Gaja Kesari|Raja Yoga|Kemdrum,40.0,BUY
EMAMIPAP,2019-05-30,Cancer,Moon,Pisces,Mercury,Moon,2028-01-28,,20.0,HOLD
EMBDL,2007-03-23,Taurus,Venus,Taurus,Rahu,Rahu,2044-06-08,Gaja Kesari,30.0,HOLD
EMCURE,2024-07-10,Leo,Sun,Leo,Venus,Venus,2044-08-03,Gaja Kesari,10.0,CAUTION
EMIL,2022-10-17,Scorpio,Mars,Gemini,Jupiter,Saturn,2034-03-11,Gaja Kesari|Dhana Yoga|Raja Yoga|Kemdrum,86.0,BUY
EMKAY,2006-04-28,Gemini,Mercury,Aries,Moon,Rahu,2034-04-06,Gaja Kesari|Dhana Yoga|Raja Yoga|Neecha Bhanga|Parivartana,89.0,BUY
EMMVEE,2025-11-18,Sagittarius,Jupiter,Libra,Rahu,Rahu,2040-07-22,Gaja Kesari|Raja Yoga|Raja Yoga,67.0,BUY
EMSLIMITED,2023-09-21,Libra,Venus,Scorpio,Saturn,Saturn,2028-01-28,Kemdrum|Parivartana,2.0,CAUTION
EMUDHRA,2022-06-01,Cancer,Moon,Gemini,Rahu,Jupiter,2041-03-12,Gaja Kesari|Raja Yoga,53.0,BUY
ENDURANCE,2016-10-19,Scorpio,Mars,Taurus,Mars,Saturn,2030-04-27,Dhana Yoga|Kemdrum|Neecha Bhanga,48.0,BUY
ENERGYDEV,2007-11-02,Scorpio,Mars,Cancer,Ketu,Jupiter,2028-11-15,Dhana Yoga|Neecha Bhanga|Parivartana,53.0,BUY
ENGINERSIN,1997-08-20,Virgo,Mercury,Aquarius,Mercury,Ketu,2040-02-25,Neecha Bhanga|Neecha Bhanga|Parivartana,-1.0,CAUTION
ENIL,2006-02-15,Pisces,Jupiter,Leo,Mars,Mars,2033-04-04,Parivartana,0.0,CAUTION
ENRIN,2025-06-19,Cancer,Moon,Pisces,Saturn,Saturn,2036-07-13,Gaja Kesari|Raja Yoga|Viparita Raja|Kala Sarpa,47.0,BUY
ENTERO,2024-02-16,Pisces,Jupiter,Aries,Sun,Jupiter,2029-10-26,Gaja Kesari|Raja Yoga|Raja Yoga|Viparita Raja|Kemdrum,52.0,BUY
EPACK,2024-01-30,Pisces,Jupiter,Virgo,Sun,Jupiter,2026-10-03,Raja Yoga|Kemdrum|Parivartana,42.0,BUY
EPACKPEB,2025-10-01,Scorpio,Mars,Sagittarius,Sun,Moon,2031-04-21,Gaja Kesari|Kemdrum,30.0,HOLD
EPIGRAL,2021-08-18,Virgo,Mercury,Sagittarius,Venus,Venus,2046-01-06,Viparita Raja,23.0,HOLD
EPL,2002-02-11,Pisces,Jupiter,Capricorn,Rahu,Venus,2032-09-15,Raja Yoga|Parivartana,28.0,HOLD
EQUITASBNK,2020-11-02,Sagittarius,Jupiter,Taurus,Moon,Rahu,2033-12-05,Raja Yoga|Kemdrum|Neecha Bhanga|Parivartana,-9.0,EXIT
ERIS,2017-06-29,Leo,Sun,Leo,Sun,Rahu,2031-03-15,Dhana Yoga|Raja Yoga|Raja Yoga,86.0,BUY
ESABINDIA,1995-11-01,Scorpio,Mars,Aquarius,Jupiter,Venus,2032-09-13,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,90.0,BUY
ESAFSFB,2023-11-10,Sagittarius,Jupiter,Virgo,Moon,Rahu,2029-04-13,Neecha Bhanga,5.0,CAUTION
ESCORTS,1995-03-01,Aries,Mars,Aquarius,Saturn,Mercury,2040-03-22,Gaja Kesari|Raja Yoga|Raja Yoga|Neecha Bhanga,77.0,BUY
ESSARSHPNG,2011-11-15,Sagittarius,Jupiter,Gemini,Jupiter,Sun,2031-12-17,Kemdrum,-1.0,CAUTION
ESTER,2011-06-20,Cancer,Moon,Capricorn,Rahu,Mercury,2034-03-27,Gaja Kesari|Raja Yoga|Kemdrum,36.0,HOLD
ETERNAL,2021-07-23,Leo,Sun,Sagittarius,Sun,Mars,2031-07-27,Dhana Yoga|Raja Yoga,38.0,HOLD
ETHOSLTD,2022-05-30,Cancer,Moon,Taurus,Moon,Jupiter,2031-05-13,Raja Yoga,48.0,BUY
EUREKAFORB,2024-09-11,Libra,Venus,Scorpio,Mercury,Mercury,2032-05-24,Gaja Kesari|Dhana Yoga|Viparita Raja|Kemdrum,56.0,BUY
EUROBOND,2025-08-01,Virgo,Mercury,Libra,Rahu,Rahu,2037-05-16,Raja Yoga,8.0,CAUTION
EUROPRATIK,2025-09-23,Libra,Venus,Virgo,Moon,Moon,2027-02-12,Gaja Kesari|Raja Yoga,23.0,HOLD
EVEREADY,2005-04-27,Gemini,Mercury,Scorpio,Ketu,Mercury,2026-07-19,Kemdrum|Neecha Bhanga|Parivartana,-2.0,CAUTION
EXCELINDUS,2004-06-16,Cancer,Moon,Taurus,Rahu,Saturn,2036-12-05,Gaja Kesari|Raja Yoga|Neecha Bhanga|Kala Sarpa,43.0,BUY
EXCELSOFT,2025-11-26,Sagittarius,Jupiter,Capricorn,Moon,Moon,2032-01-02,Gaja Kesari|Kemdrum,31.0,HOLD
EXICOM,2024-03-05,Aries,Mars,Sagittarius,Venus,Venus,2045-12-22,Raja Yoga|Raja Yoga,53.0,BUY
EXIDEIND,2003-06-17,Cancer,Moon,Capricorn,Rahu,Saturn,2039-03-20,Gaja Kesari,45.0,BUY
EXPLEOSOL,2009-10-26,Scorpio,Mars,Capricorn,Rahu,Rahu,2044-05-12,Gaja Kesari|Kemdrum|Neecha Bhanga|Parivartana,10.0,CAUTION
EXXARO,2021-08-16,Virgo,Mercury,Scorpio,Saturn,Mercury,2035-12-12,Gaja Kesari|Kemdrum,3.0,CAUTION
FABTECH,2025-10-07,Scorpio,Mars,Pisces,Mercury,Mercury,2038-01-20,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum,25.0,HOLD
FACT,1995-04-12,Taurus,Venus,Leo,Moon,Mercury,2029-08-01,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Neecha Bhanga,82.0,BUY
FAZE3Q,2022-11-18,Sagittarius,Jupiter,Leo,Venus,Sun,2033-02-16,Raja Yoga|Viparita Raja|Kemdrum|Parivartana,20.0,HOLD
FCL,2015-01-15,Aquarius,Saturn,Libra,Jupiter,Moon,2029-11-11,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Parivartana,79.0,BUY
FDC,1997-08-07,Virgo,Mercury,Virgo,Rahu,Mercury,2035-10-25,Raja Yoga|Neecha Bhanga|Parivartana,14.0,CAUTION
FEDDERSHOL,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
FEDERALBNK,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
FEDFINA,2023-11-30,Sagittarius,Jupiter,Gemini,Rahu,Rahu,2027-06-28,Kemdrum,5.0,CAUTION
FERMENTA,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
FIBERWEB,2022-02-16,Pisces,Jupiter,Cancer,Ketu,Venus,2032-08-26,Kemdrum,13.0,CAUTION
FIEMIND,2006-10-19,Scorpio,Mars,Leo,Mars,Ketu,2028-11-06,Raja Yoga|Raja Yoga|Raja Yoga|Viparita Raja|Parivartana,66.0,BUY
FILATEX,2011-08-29,Libra,Venus,Leo,Venus,Saturn,2032-03-10,Dhana Yoga|Raja Yoga|Neecha Bhanga,74.0,BUY
FINCABLES,1995-02-15,Pisces,Jupiter,Cancer,Sun,Jupiter,2030-04-24,Viparita Raja|Kemdrum|Neecha Bhanga,13.0,CAUTION
FINEORG,2018-07-02,Leo,Sun,Capricorn,Rahu,Jupiter,2040-04-16,Gaja Kesari,0.0,CAUTION
FINKURVE,2025-10-01,Scorpio,Mars,Sagittarius,Sun,Moon,2031-04-21,Gaja Kesari|Kemdrum,30.0,HOLD
FINOPB,2021-11-12,Sagittarius,Jupiter,Aquarius,Rahu,Jupiter,2041-04-13,Dhana Yoga|Raja Yoga|Raja Yoga|Neecha Bhanga,54.0,BUY
FINPIPE,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
FIRSTCRY,2024-08-13,Virgo,Mercury,Scorpio,Saturn,Saturn,2044-01-27,Gaja Kesari|Raja Yoga|Kemdrum|Neecha Bhanga,7.0,CAUTION
FISCHER,2025-07-10,Leo,Sun,Sagittarius,Venus,Venus,2041-06-08,Gaja Kesari|Raja Yoga|Kemdrum,23.0,HOLD
FIVESTAR,2022-11-21,Sagittarius,Jupiter,Virgo,Mars,Mercury,2027-02-17,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum|Parivartana,35.0,HOLD
FLAIR,2023-12-01,Sagittarius,Jupiter,Gemini,Jupiter,Saturn,2028-01-16,Kemdrum,17.0,HOLD
FLUOROCHEM,2019-10-16,Scorpio,Mars,Aries,Sun,Saturn,2029-03-06,Raja Yoga|Viparita Raja|Kemdrum,40.0,BUY
FMGOETZE,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
FOODSIN,2021-11-16,Sagittarius,Jupiter,Pisces,Mercury,Venus,2028-07-06,Dhana Yoga|Raja Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,69.0,BUY
FORCEMOT,2024-02-14,Pisces,Jupiter,Pisces,Ketu,Sun,2031-09-02,Raja Yoga|Viparita Raja,44.0,BUY
FORTIS,2007-05-09,Gemini,Mercury,Capricorn,Rahu,Jupiter,2040-12-07,Kemdrum|Parivartana|Parivartana|Parivartana,17.0,HOLD
FOSECOIND,2003-05-05,Gemini,Mercury,Gemini,Jupiter,Jupiter,2040-08-06,,48.0,BUY
FRACTAL,2026-02-16,Pisces,Jupiter,Capricorn,Moon,Moon,2030-06-23,Dhana Yoga|Viparita Raja,52.0,BUY
FRONTSP,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
FSL,2007-02-22,Aries,Mars,Aries,Venus,Mercury,2028-04-18,,-20.0,EXIT
FUSION,2022-11-15,Sagittarius,Jupiter,Cancer,Saturn,Mercury,2027-04-04,Viparita Raja|Kemdrum|Parivartana,27.0,HOLD
GABRIEL,2005-04-20,Gemini,Mercury,Leo,Sun,Ketu,2027-08-27,Neecha Bhanga|Parivartana,53.0,BUY
GAEL,2000-10-11,Scorpio,Mars,Aquarius,Mercury,Mercury,2043-04-08,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum,25.0,HOLD
GAIL,1997-04-02,Taurus,Venus,Capricorn,Rahu,Ketu,2033-10-30,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,50.0,BUY
GALAPREC,2024-09-09,Libra,Venus,Libra,Jupiter,Jupiter,2029-08-02,Dhana Yoga|Viparita Raja,21.0,HOLD
GALAXYSURF,2018-02-08,Pisces,Jupiter,Scorpio,Saturn,Ketu,2039-09-25,Neecha Bhanga,10.0,CAUTION
GALLANTT,2006-04-04,Taurus,Venus,Gemini,Jupiter,Jupiter,2041-01-24,Raja Yoga,3.0,CAUTION
GANDHAR,2023-11-30,Sagittarius,Jupiter,Gemini,Rahu,Rahu,2027-06-28,Kemdrum,5.0,CAUTION
GANDHITUBE,2007-01-31,Pisces,Jupiter,Gemini,Saturn,Ketu,2038-11-11,Parivartana,12.0,CAUTION
GANECOS,2015-03-09,Aries,Mars,Libra,Rahu,Mercury,2035-11-09,Gaja Kesari|Raja Yoga,18.0,HOLD
GANESHBE,2021-09-16,Libra,Venus,Sagittarius,Moon,Moon,2036-05-23,Raja Yoga|Neecha Bhanga,42.0,BUY
GANESHCP,2025-09-29,Libra,Venus,Sagittarius,Ketu,Venus,2031-02-20,Gaja Kesari|Kemdrum,20.0,HOLD
GANESHHOU,2007-03-02,Aries,Mars,Cancer,Venus,Rahu,2037-07-18,Kemdrum,-35.0,AVOID
GANGESSECU,2017-07-28,Virgo,Mercury,Virgo,Mars,Rahu,2032-05-29,Gaja Kesari|Neecha Bhanga,36.0,HOLD
GARFIBRES,2007-04-03,Taurus,Venus,Virgo,Rahu,Venus,2031-10-26,Raja Yoga|Kemdrum,18.0,HOLD
GARUDA,2024-10-15,Scorpio,Mars,Aquarius,Jupiter,Jupiter,2033-11-21,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum,35.0,HOLD
GATECH,2016-07-25,Leo,Sun,Pisces,Mercury,Moon,2035-08-06,Raja Yoga|Raja Yoga|Kemdrum,6.0,CAUTION
GATECHDVR,2017-10-10,Scorpio,Mars,Taurus,Rahu,Rahu,2043-09-28,Kemdrum,9.0,CAUTION
GATEWAY,2022-03-22,Taurus,Venus,Libra,Jupiter,Saturn,2029-06-07,Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Kemdrum,62.0,BUY
GAYAHWS,2018-06-28,Leo,Sun,Sagittarius,Venus,Rahu,2039-02-06,,-15.0,EXIT
GCSL,2025-09-04,Libra,Venus,Capricorn,Sun,Mars,2029-01-18,Kemdrum,17.0,HOLD
GEEKAYWIRE,2020-03-06,Aries,Mars,Cancer,Saturn,Ketu,2039-08-18,Raja Yoga|Kemdrum,23.0,HOLD
GEMAROMA,2025-08-26,Virgo,Mercury,Virgo,Moon,Mars,2033-04-14,Gaja Kesari|Dhana Yoga|Raja Yoga|Parivartana,68.0,BUY
GENCON,2021-02-16,Pisces,Jupiter,Pisces,Mercury,Venus,2028-02-12,Dhana Yoga|Raja Yoga,68.0,BUY
GENESYS,2003-01-23,Aquarius,Saturn,Virgo,Rahu,Saturn,2037-10-27,Raja Yoga|Kemdrum,18.0,HOLD
GENUSPAPER,2015-02-16,Pisces,Jupiter,Sagittarius,Moon,Mars,2035-05-22,Dhana Yoga|Parivartana,25.0,HOLD
GENUSPOWER,2005-07-08,Leo,Sun,Cancer,Mercury,Jupiter,2031-01-18,Viparita Raja,7.0,CAUTION
GEOJITFSL,2005-07-01,Leo,Sun,Aries,Sun,Saturn,2028-11-20,,25.0,HOLD
GESHIP,2006-11-27,Sagittarius,Jupiter,Capricorn,Rahu,Venus,2030-01-07,Raja Yoga|Raja Yoga|Kemdrum|Parivartana,36.0,HOLD
GFLLIMITED,1995-05-25,Cancer,Moon,Pisces,Venus,Saturn,2030-10-20,,10.0,CAUTION
GHCL,2003-07-31,Virgo,Mercury,Leo,Venus,Ketu,2026-10-08,Gaja Kesari|Raja Yoga|Parivartana,63.0,BUY
GHCLTEXTIL,2023-06-12,Cancer,Moon,Pisces,Saturn,Mercury,2026-07-17,Dhana Yoga|Raja Yoga|Neecha Bhanga,20.0,HOLD
GICHSGFIN,1996-05-08,Gemini,Mercury,Sagittarius,Rahu,Saturn,2037-02-26,Gaja Kesari|Kemdrum|Parivartana,17.0,HOLD
GICL,2026-02-18,Pisces,Jupiter,Aquarius,Rahu,Rahu,2034-08-18,Dhana Yoga|Raja Yoga|Viparita Raja,40.0,BUY
GICRE,2017-10-25,Scorpio,Mars,Sagittarius,Venus,Moon,2040-08-09,Raja Yoga|Raja Yoga|Kala Sarpa|Parivartana,58.0,BUY
GILLANDERS,2009-12-14,Capricorn,Saturn,Scorpio,Saturn,Rahu,2030-10-07,Raja Yoga|Neecha Bhanga|Neecha Bhanga|Parivartana,36.0,HOLD
GILLETTE,2003-07-30,Virgo,Mercury,Cancer,Venus,Rahu,2038-07-01,Gaja Kesari|Dhana Yoga|Raja Yoga,83.0,BUY
GIPCL,1995-02-08,Pisces,Jupiter,Taurus,Rahu,Ketu,2033-08-19,Gaja Kesari|Kemdrum,-3.0,CAUTION
GKENERGY,2025-09-26,Libra,Venus,Libra,Jupiter,Jupiter,2032-12-06,,12.0,CAUTION
GKSL,2025-12-30,Capricorn,Saturn,Aries,Venus,Venus,2042-06-11,Raja Yoga|Raja Yoga|Raja Yoga|Viparita Raja|Parivartana,66.0,BUY
GKWLIMITED,2009-07-20,Leo,Sun,Gemini,Rahu,Moon,2027-09-07,Raja Yoga|Parivartana,8.0,CAUTION
GLAND,2020-11-20,Sagittarius,Jupiter,Capricorn,Moon,Saturn,2030-08-17,Dhana Yoga,47.0,BUY
GLAXO,2000-12-15,Capricorn,Saturn,Cancer,Venus,Rahu,2037-10-15,Kemdrum|Parivartana,5.0,CAUTION
GLENMARK,2000-02-07,Pisces,Jupiter,Aquarius,Saturn,Saturn,2044-12-19,Dhana Yoga|Raja Yoga|Neecha Bhanga|Parivartana,53.0,BUY
GLOBAL,2020-12-07,Capricorn,Saturn,Leo,Venus,Sun,2042-04-13,Kemdrum|Neecha Bhanga,9.0,CAUTION
GLOBALVECT,2006-10-27,Scorpio,Mars,Sagittarius,Venus,Mercury,2030-06-11,Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,92.0,BUY
GLOBE,2020-10-07,Scorpio,Mars,Taurus,Mars,Jupiter,2031-10-02,Kemdrum,8.0,CAUTION
GLOBUSSPR,2009-09-23,Libra,Venus,Scorpio,Saturn,Rahu,2030-02-11,Raja Yoga|Kemdrum,-7.0,EXIT
GLOSTERLTD,2024-04-26,Gemini,Mercury,Scorpio,Saturn,Saturn,2037-08-22,Raja Yoga|Kemdrum|Neecha Bhanga|Parivartana,33.0,HOLD
GMBREW,1995-08-23,Virgo,Mercury,Cancer,Mercury,Mars,2034-02-15,Raja Yoga|Viparita Raja,46.0,BUY
GMDCLTD,1997-12-17,Capricorn,Saturn,Cancer,Ketu,Venus,2032-09-19,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum|Parivartana,53.0,BUY
GMMPFAUDLR,2018-03-05,Aries,Mars,Libra,Rahu,Saturn,2039-02-23,Gaja Kesari|Raja Yoga|Viparita Raja|Neecha Bhanga|Parivartana,58.0,BUY
GMRAIRPORT,2006-08-21,Virgo,Mercury,Cancer,Mercury,Ketu,2040-04-06,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Viparita Raja,100.0,BUY
GMRP&UI,2022-03-23,Taurus,Venus,Scorpio,Saturn,Mercury,2029-09-03,Gaja Kesari|Raja Yoga|Raja Yoga|Raja Yoga|Raja Yoga,79.0,BUY
GNA,2016-09-26,Libra,Venus,Cancer,Mercury,Venus,2037-08-20,Parivartana,35.0,HOLD
GNFC,1995-05-17,Gemini,Mercury,Sagittarius,Moon,Moon,2035-10-20,,5.0,CAUTION
GNRL,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
GOACARBON,2007-06-05,Cancer,Moon,Capricorn,Rahu,Rahu,2042-12-03,Dhana Yoga|Kemdrum|Parivartana|Parivartana,-5.0,CAUTION
GOCLCORP,2014-06-26,Leo,Sun,Taurus,Rahu,Saturn,2037-04-28,Dhana Yoga,43.0,BUY
GOCOLORS,2021-11-30,Sagittarius,Jupiter,Virgo,Moon,Saturn,2026-07-28,Dhana Yoga|Raja Yoga,48.0,BUY
GODAVARIB,2024-10-30,Scorpio,Mars,Virgo,Moon,Rahu,2029-02-24,Neecha Bhanga|Neecha Bhanga,36.0,HOLD
GODFRYPHLP,1996-07-24,Leo,Sun,Libra,Saturn,Mercury,2040-10-30,Kemdrum,-41.0,AVOID
GODIGIT,2024-05-23,Cancer,Moon,Scorpio,Saturn,Saturn,2042-10-28,Gaja Kesari|Dhana Yoga|Raja Yoga|Kemdrum,43.0,BUY
GODREJAGRO,2017-10-16,Scorpio,Mars,Leo,Venus,Rahu,2034-07-17,Raja Yoga|Raja Yoga|Kala Sarpa|Parivartana,58.0,BUY
GODREJCP,2001-06-20,Cancer,Moon,Taurus,Rahu,Venus,2030-10-07,Raja Yoga,14.0,CAUTION
GODREJIND,2003-02-25,Aries,Mars,Sagittarius,Venus,Mercury,2029-07-09,Dhana Yoga|Raja Yoga|Raja Yoga|Parivartana,88.0,BUY
GODREJPROP,2010-01-05,Aquarius,Saturn,Leo,Moon,Rahu,2033-09-15,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga,92.0,BUY
GOKEX,2005-04-27,Gemini,Mercury,Scorpio,Ketu,Mercury,2026-07-19,Kemdrum|Neecha Bhanga|Parivartana,-2.0,CAUTION
GOKUL,2008-06-04,Cancer,Moon,Taurus,Rahu,Venus,2032-05-03,Dhana Yoga|Raja Yoga|Kemdrum|Neecha Bhanga,33.0,HOLD
GOKULAGRO,2016-03-11,Aries,Mars,Pisces,Ketu,Saturn,2027-09-20,Raja Yoga|Raja Yoga,51.0,BUY
GOLDIAM,2005-08-29,Libra,Venus,Gemini,Jupiter,Venus,2033-12-29,Gaja Kesari|Raja Yoga|Viparita Raja|Neecha Bhanga|Parivartana,48.0,BUY
GOODLUCK,2015-01-08,Aquarius,Saturn,Cancer,Venus,Venus,2046-02-15,Gaja Kesari|Raja Yoga|Viparita Raja|Kemdrum|Parivartana,40.0,BUY
GOODYEAR,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
GOPAL,2024-03-14,Aries,Mars,Aries,Venus,Venus,2030-04-17,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga|Raja Yoga,100.0,BUY
GOYALALUM,2022-11-04,Sagittarius,Jupiter,Aquarius,Jupiter,Saturn,2032-07-12,Dhana Yoga|Raja Yoga,58.0,BUY
GPIL,2006-04-25,Gemini,Mercury,Pisces,Mercury,Venus,2039-11-30,,5.0,CAUTION
GPPL,2010-09-09,Libra,Venus,Virgo,Mars,Saturn,2030-10-13,Gaja Kesari|Dhana Yoga|Raja Yoga|Raja Yoga,96.0,BUY
GPTHEALTH,2024-02-29,Aries,Mars,Libra,Rahu,Rahu,2042-04-05,Gaja Kesari|Raja Yoga|Raja Yoga|Kemdrum,33.0,HOLD
GPTINFRA,2016-07-11,Leo,Sun,Virgo,Mars,Mercury,2029-01-31,Parivartana,0.0,CAUTION
GRANDOAK,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
GRANULES,2005-06-20,Cancer,Moon,Scorpio,Mercury,Moon,2035-03-27,Kemdrum,-10.0,EXIT
GRAPHITE,2003-02-07,Pisces,Jupiter,Pisces,Venus,Saturn,2030-10-18,Kemdrum|Parivartana,5.0,CAUTION
GRASIM,1995-05-10,Gemini,Mercury,Leo,Rahu,Rahu,2042-06-20,Gaja Kesari|Neecha Bhanga,20.0,HOLD
GRAUWEIL,2026-04-20,Gemini,Mercury,Taurus,Moon,Moon,2033-10-12,Raja Yoga|Neecha Bhanga|Kala Sarpa|Parivartana,10.0,CAUTION
